Date,city,state_id,state_name,county_fips,county_name,Summary,Precip Type,Temperature,Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2006-04-01 00:00:00.000 +0200,New York,NY,New York,36081,Queens,Partly Cloudy,rain,9.472222222,7.388888889,0.89,14.1197,251,15.8263,0,1015.13,Partly cloudy throughout the day.
2006-04-01 01:00:00.000 +0200,Los Angeles,CA,California,6037,Los Angeles,Partly Cloudy,rain,9.355555556,7.227777778,0.86,14.2646,259,15.8263,0,1015.63,Partly cloudy throughout the day.
2006-04-01 02:00:00.000 +0200,Chicago,IL,Illinois,17031,Cook,Mostly Cloudy,rain,9.377777778,9.377777778,0.89,3.9284,204,14.9569,0,1015.94,Partly cloudy throughout the day.
2006-04-01 03:00:00.000 +0200,Miami,FL,Florida,12086,Miami-Dade,Partly Cloudy,rain,8.288888889,5.944444444,0.83,14.1036,269,15.8263,0,1016.41,Partly cloudy throughout the day.
2006-04-01 04:00:00.000 +0200,Dallas,TX,Texas,48113,Dallas,Mostly Cloudy,rain,8.755555556,6.977777778,0.83,11.0446,259,15.8263,0,1016.51,Partly cloudy throughout the day.
2006-04-01 05:00:00.000 +0200,Houston,TX,Texas,48201,Harris,Partly Cloudy,rain,9.222222222,7.111111111,0.85,13.9587,258,14.9569,0,1016.66,Partly cloudy throughout the day.
2006-04-01 06:00:00.000 +0200,Philadelphia,PA,Pennsylvania,42101,Philadelphia,Partly Cloudy,rain,7.733333333,5.522222222,0.95,12.3648,259,9.982,0,1016.72,Partly cloudy throughout the day.
2006-04-01 07:00:00.000 +0200,Atlanta,GA,Georgia,13121,Fulton,Partly Cloudy,rain,8.772222222,6.527777778,0.89,14.1519,260,9.982,0,1016.84,Partly cloudy throughout the day.
2006-04-01 08:00:00.000 +0200,Washington,DC,District of Columbia,11001,District of Columbia,Partly Cloudy,rain,10.82222222,10.82222222,0.82,11.3183,259,9.982,0,1017.37,Partly cloudy throughout the day.
2006-04-01 09:00:00.000 +0200,Boston,MA,Massachusetts,25025,Suffolk,Partly Cloudy,rain,13.77222222,13.77222222,0.72,12.5258,279,9.982,0,1017.22,Partly cloudy throughout the day.
2006-04-01 10:00:00.000 +0200,Phoenix,AZ,Arizona,4013,Maricopa,Partly Cloudy,rain,16.01666667,16.01666667,0.67,17.5651,290,11.2056,0,1017.42,Partly cloudy throughout the day.
2006-04-01 11:00:00.000 +0200,Detroit,MI,Michigan,26163,Wayne,Partly Cloudy,rain,17.14444444,17.14444444,0.54,19.7869,316,11.4471,0,1017.74,Partly cloudy throughout the day.
2006-04-01 12:00:00.000 +0200,Seattle,WA,Washington,53033,King,Partly Cloudy,rain,17.8,17.8,0.55,21.9443,281,11.27,0,1017.59,Partly cloudy throughout the day.
